,titulo,compositor,voces,genre,era,url_imslp,url_cpdl
12,Miserere,Antonio Lotti,SATB,Sacro,Barroco,"https://imslp.org/wiki/Miserere_(Lotti,_Antonio)",https://www.cpdl.org/wiki/index.php/Miserere_(Antonio_Lotti)
13,Nada te turbe,Taizé,SATB,Sacro,Contemporáneo,,https://www.cpdl.org/wiki/index.php/Nada_te_turbe_(Taiz%C3%A9)
14,Nocturnos de la Ventana,Lorca / Vila,SATB,Sacro,Contemporáneo,,
15,O Vos Omnes,Tomás Luis de Victoria,SATB,Sacro,Renacimiento,"https://imslp.org/wiki/O_vos_omnes_(Victoria,_Tom%C3%A1s_Luis_de)",https://www.cpdl.org/wiki/index.php/O_vos_omnes_(Tom%C3%A1s_Luis_de_Victoria)
16,Pater Noster,Nikolai Kedrov,SATB,Sacro,Romántico,,https://www.cpdl.org/wiki/index.php/Pater_noster_(Nikolai_Kedrov)
17,Pie Jesu,Andrew Lloyd Webber,SATB,Sacro,Contemporáneo,,
18,Riu riu chiu,Cancionero de Venecia,SATB,Sacro,Renacimiento,"https://imslp.org/wiki/Riu,_riu,_chiu_(Anonymous)",https://www.cpdl.org/wiki/index.php/Riu_riu_chiu
19,Stabat Mater,Zoltan Kodaly,SATB,Sacro,Contemporáneo,"https://imslp.org/wiki/Stabat_Mater_(Kod%C3%A1ly,_Zolt%C3%A1n)",
20,Stabat Mater D.383,Franz Schubert,SATB,Sacro,Romántico,"https://imslp.org/wiki/Stabat_Mater,_D.383_(Schubert,_Franz)",
21,Tollite Hostias,Camille Saint-Saëns,SATB,Sacro,Romántico,"https://imslp.org/wiki/Oratorio_de_No%C3%ABl,_Op.12_(Saint-Sa%C3%ABns,_Camille)",https://www.cpdl.org/wiki/index.php/Tollite_hostias_(Camille_Saint-Sa%C3%ABns)
22,Ubi caritas,Ola Gjeilo,SATB,Sacro,Contemporáneo,,https://www.cpdl.org/wiki/index.php/Ubi_Caritas_(Ola_Gjeilo)
23,A tu lado,Javier Busto,SATB,Sacro,Contemporáneo,,
24,La muerte no es el final,Cesáreo Gabaráin,SATB,Sacro,Contemporáneo,,
25,Dona la pace Signore,Dino Stella,SATB,Sacro,Contemporáneo,,
26,Te llevaré,Albert Alcaraz,SATB,Sacro,Contemporáneo,,
27,Ay triste que vengo,Cancionero de Upsala,SATB,Profano,Renacimiento,https://imslp.org/wiki/Ay_triste_que_vengo_(Anonymous),https://www.cpdl.org/wiki/index.php/Ay_triste_que_vengo
28,Dadme albricias,Cancionero de Palacio,SATB,Profano,Renacimiento,,"https://www.cpdl.org/wiki/index.php/Dadme_albricias,_hijos_d%27Eva"
29,Hoy comamos y bebamos,Cancionero de Palacio,SATB,Profano,Renacimiento,,https://www.cpdl.org/wiki/index.php/Hoy_comamos_y_bebamos_(Juan_del_Encina)
30,Gatatumba,Popular andaluza,SATB,Profano,Popular español,,https://www.cpdl.org/wiki/index.php/Gatatumba
31,El Rabadán,Tradicional de Extremadura,SATB,Profano,Popular español,,
32,Manolito Chiquito,Tradicional de Extremadura,SATB,Profano,Popular español,,
33,Pájaro Triguero,Jota extremeña,SATB,Profano,Popular español,,
34,Pastores de Extremadura,Popular de Extremadura,SATB,Profano,Popular español,,
35,Villancico de la Vera,Tradicional de Cáceres,SATB,Profano,Popular español,,
36,Ya se van los quintos,Tradicional de Cáceres,SATB,Profano,Popular español,,
37,Salve de Trujillo,Cuadrado Retamosa / Iglesias,SATB,Sacro,Popular español,,
38,Salve Rociera,Tradicional de Huelva,SATB,Sacro,Popular español,,
39,Salve de Covadonga,Tradicional de Asturias,SATB,Sacro,Popular español,,
40,Madre de siete dolores,Florián Rodríguez,SATB,Sacro,Popular español,,
41,Plegaria Virgen de la Victoria,Isidro Ortega,SATB,Sacro,Popular español,,
42,All you need is love,The Beatles,SATB,Profano,Popular,,
43,Boga boga,Popular vasca,SATB,Profano,Popular español,,
44,Ay mi morena,Federico Moreno Torroba,SATB,Profano,Zarzuela,,
45,Mazurca de las sombrillas,Federico Moreno Torroba,SATB,Profano,Zarzuela,,
46,Caballero de Gracia,Federico Chueca,SATB,Profano,Zarzuela,"https://imslp.org/wiki/La_Gran_V%C3%ADa_(Chueca,_Federico)",
47,Jota de La Dolores,Tomás Bretón,SATB,Profano,Zarzuela,"https://imslp.org/wiki/La_Dolores_(Bret%C3%B3n,_Tom%C3%A1s)",
48,Los Sobrinos del Capitán Grant,Manuel Fernández Caballero,SATB,Profano,Zarzuela,,
49,Maite,Pablo Sorozábal,SATB,Profano,Zarzuela,,
50,Maitechu mia,Francisco Alonso,SATB,Profano,Zarzuela,,
51,Madrid (Chotis),Agustín Lara,SATB,Profano,Popular,,
52,Gaudeamus Igitur,Himno universitario,SATB,Profano,Popular,https://imslp.org/wiki/Gaudeamus_igitur_(Anonymous),https://www.cpdl.org/wiki/index.php/Gaudeamus_igitur
53,Kalinka,Tradicional rusa,SATB,Profano,Popular,,https://www.cpdl.org/wiki/index.php/Kalinka
54,Les anges dans nos campagnes,Tradicional francesa,SATB,Sacro,Popular,https://imslp.org/wiki/Les_anges_dans_nos_campagnes_(Anonymous),https://www.cpdl.org/wiki/index.php/Les_anges_dans_nos_campagnes
55,Los Campanilleros,Tradicional andaluza,SATB,Sacro,Popular español,,https://www.cpdl.org/wiki/index.php/Los_campanilleros
56,O Sanctissima,Tradicional siciliana,SATB,Sacro,Popular,https://imslp.org/wiki/O_sanctissima_(Anonymous),https://www.cpdl.org/wiki/index.php/O_sanctissima
57,O Tannenbaum,Tradicional alemana,SATB,Profano,Popular,https://imslp.org/wiki/O_Tannenbaum_(Folk_Songs),https://www.cpdl.org/wiki/index.php/O_Tannenbaum
58,Siyahamba,Tradicional zulú,SATB,Sacro,Popular africano,,https://www.cpdl.org/wiki/index.php/Siyahamba
59,The Lord Bless You and Keep You,Peter Lutkin,SATB,Sacro,Romántico,"https://imslp.org/wiki/The_Lord_Bless_You_and_Keep_You_(Lutkin,_Peter_Christian)",https://www.cpdl.org/wiki/index.php/The_Lord_Bless_You_and_Keep_You_(Peter_Lutkin)
60,Cerca de ti Señor,Tradicional inglesa,SATB,Sacro,Popular,,
61,Brindis (Mozart),Wolfgang Amadeus Mozart,SATB,Profano,Clasicismo,"https://imslp.org/wiki/Brindisi_(Mozart,_Wolfgang_Amadeus)",
62,La Borrachita,Ignacio Fernández Esperón (Tata Nacho),SATB,Profano,Popular latinoamericano,,
